"","Range","Step","Salary"
"1",5,"A",27514.5
"2",6,"A",29035.5
"3",7,"A",30771
"4",8,"A",32506.5
"5",9,"A",34515
"6",10,"A",36621
"7",11,"A",38961
"8",12,"A",41262
"9",13,"A",43953
"10",14,"A",46897.5
"11",15,"A",50134.5
"12",16,"A",53859
"13",17,"A",57661.5
"14",18,"A",62049
"15",19,"A",66456
"16",20,"A",71019
"17",21,"A",75972
"18",22,"A",81159
"19",23,"A",86775
"20",24,"A",92898
"21",25,"A",99547.5
"22",26,"A",103272
"23",27,"A",106762.5
"24",5,"B",28236
"25",6,"B",29874
"26",7,"B",31570.5
"27",8,"B",33423
"28",9,"B",35568
"29",10,"B",37693.5
"30",11,"B",40092
"31",12,"B",42529.5
"32",13,"B",45298.5
"33",14,"B",48496.5
"34",15,"B",52006.5
"35",16,"B",55867.5
"36",17,"B",59845.5
"37",18,"B",64252.5
"38",19,"B",68757
"39",20,"B",73651.5
"40",21,"B",78760.5
"41",22,"B",84123
"42",23,"B",89914.5
"43",24,"B",96388.5
"44",25,"B",103272
"45",26,"B",106762.5
"46",27,"B",110331
"47",5,"C",29035.5
"48",6,"C",30771
"49",7,"C",32506.5
"50",8,"C",34515
"51",9,"C",36621
"52",10,"C",38961
"53",11,"C",41262
"54",12,"C",43953
"55",13,"C",46897.5
"56",14,"C",50134.5
"57",15,"C",53859
"58",16,"C",57661.5
"59",17,"C",62049
"60",18,"C",66456
"61",19,"C",71019
"62",20,"C",75972
"63",21,"C",81159
"64",22,"C",86775
"65",23,"C",92898
"66",24,"C",99547.5
"67",25,"C",106762.5
"68",26,"C",110331
"69",27,"C",114445.5
"70",5,"D",29874
"71",6,"D",31570.5
"72",7,"D",33423
"73",8,"D",35568
"74",9,"D",37693.5
"75",10,"D",40092
"76",11,"D",42529.5
"77",12,"D",45298.5
"78",13,"D",48496.5
"79",14,"D",52006.5
"80",15,"D",55867.5
"81",16,"D",59845.5
"82",17,"D",64252.5
"83",18,"D",68757
"84",19,"D",73651.5
"85",20,"D",78760.5
"86",21,"D",84123
"87",22,"D",89914.5
"88",23,"D",96388.5
"89",24,"D",103272
"90",25,"D",110331
"91",26,"D",114445.5
"92",27,"D",118716
"93",5,"E",30771
"94",6,"E",32506.5
"95",7,"E",34515
"96",8,"E",36621
"97",9,"E",38961
"98",10,"E",41262
"99",11,"E",43953
"100",12,"E",46897.5
"101",13,"E",50134.5
"102",14,"E",53859
"103",15,"E",57661.5
"104",16,"E",62049
"105",17,"E",66456
"106",18,"E",71019
"107",19,"E",75972
"108",20,"E",81159
"109",21,"E",86775
"110",22,"E",92898
"111",23,"E",99547.5
"112",24,"E",106762.5
"113",25,"E",114445.5
"114",26,"E",118716
"115",27,"E",123064.5
"116",5,"F",31570.5
"117",6,"F",33423
"118",7,"F",35568
"119",8,"F",37693.5
"120",9,"F",40092
"121",10,"F",42529.5
"122",11,"F",45298.5
"123",12,"F",48496.5
"124",13,"F",52006.5
"125",14,"F",55867.5
"126",15,"F",59845.5
"127",16,"F",64252.5
"128",17,"F",68757
"129",18,"F",73651.5
"130",19,"F",78760.5
"131",20,"F",84123
"132",21,"F",89914.5
"133",22,"F",96388.5
"134",23,"F",103272
"135",24,"F",110331
"136",25,"F",118716
"137",26,"F",123064.5
"138",27,"F",127666.5
"139",5,"G",32506.5
"140",6,"G",34515
"141",7,"G",36621
"142",8,"G",38961
"143",9,"G",41262
"144",10,"G",43953
"145",11,"G",46897.5
"146",12,"G",50134.5
"147",13,"G",53859
"148",14,"G",57661.5
"149",15,"G",62049
"150",16,"G",66456
"151",17,"G",71019
"152",18,"G",75972
"153",19,"G",81159
"154",20,"G",86775
"155",21,"G",92898
"156",22,"G",99547.5
"157",23,"G",106762.5
"158",24,"G",114445.5
"159",25,"G",123064.5
"160",26,"G",127666.5
"161",27,"G",132151.5
"162",5,"J",33891
"163",6,"J",35938.5
"164",7,"J",38122.5
"165",8,"J",40599
"166",9,"J",42978
"167",10,"J",45766.5
"168",11,"J",48847.5
"169",12,"J",52260
"170",13,"J",56101.5
"171",14,"J",60099
"172",15,"J",64584
"173",16,"J",69205.5
"174",17,"J",73944
"175",18,"J",79111.5
"176",19,"J",84532.5
"177",20,"J",90421.5
"178",21,"J",96798
"179",22,"J",103681.5
"180",23,"J",111208.5
"181",24,"J",119203.5
"182",25,"J",128154
"183",26,"J",133029
"184",27,"J",137650.5
"185",5,"K",34983
"186",6,"K",37108.5
"187",7,"K",39370.5
"188",8,"K",41925
"189",9,"K",44382
"190",10,"K",47248.5
"191",11,"K",50427
"192",12,"K",53956.5
"193",13,"K",57934.5
"194",14,"K",62049
"195",15,"K",66690
"196",16,"K",71448
"197",17,"K",76342.5
"198",18,"K",81685.5
"199",19,"K",87282
"200",20,"K",93366
"201",21,"K",99937.5
"202",22,"K",107055
"203",23,"K",114816
"204",24,"K",123084
"205",25,"K",132327
"206",26,"K",137358
"207",27,"K",142116
"208",5,"L",36114
"209",6,"L",38317.5
"210",7,"L",40657.5
"211",8,"L",43290
"212",9,"L",45825
"213",10,"L",48789
"214",11,"L",52065
"215",12,"L",55711.5
"216",13,"L",59826
"217",14,"L",64057.5
"218",15,"L",68854.5
"219",16,"L",73768.5
"220",17,"L",78819
"221",18,"L",84337.5
"222",19,"L",90109.5
"223",20,"L",96408
"224",21,"L",103194
"225",22,"L",110526
"226",23,"L",118540.5
"227",24,"L",127081.5
"228",25,"L",136636.5
"229",26,"L",141823.5
"230",27,"L",146737.5
"231",5,"M",37284
"232",6,"M",39565.5
"233",7,"M",41983.5
"234",8,"M",44694
"235",9,"M",47307
"236",10,"M",50368.5
"237",11,"M",53761.5
"238",12,"M",57525
"239",13,"M",61776
"240",14,"M",66144
"241",15,"M",71097
"242",16,"M",76167
"243",17,"M",81373.5
"244",18,"M",87087
"245",19,"M",93034.5
"246",20,"M",99547.5
"247",21,"M",106548
"248",22,"M",114114
"249",23,"M",122401.5
"250",24,"M",131215.5
"251",25,"M",141082.5
"252",26,"M",146425.5
"253",27,"M",151515
"254",5,"N",38493
"255",6,"N",40852.5
"256",7,"N",43348.5
"257",8,"N",46137
"258",9,"N",48847.5
"259",10,"N",52006.5
"260",11,"N",55516.5
"261",12,"N",59397
"262",13,"N",63784.5
"263",14,"N",68289
"264",15,"N",73398
"265",16,"N",78643.5
"266",17,"N",84025.5
"267",18,"N",89914.5
"268",19,"N",96057
"269",20,"N",102784.5
"270",21,"N",110019
"271",22,"N",117819
"272",23,"N",126379.5
"273",24,"N",135486
"274",25,"N",145665
"275",26,"N",151183.5
"276",27,"N",156448.5
"277",5,"O",39741
"278",6,"O",42178.5
"279",7,"O",44752.5
"280",8,"O",47638.5
"281",9,"O",50427
"282",10,"O",53703
"283",11,"O",57330
"284",12,"O",61327.5
"285",13,"O",65851.5
"286",14,"O",70512
"287",15,"O",75777
"288",16,"O",81198
"289",17,"O",86755.5
"290",18,"O",92839.5
"291",19,"O",99177
"292",20,"O",106119
"293",21,"O",113587.5
"294",22,"O",121641
"295",23,"O",130494
"296",24,"O",139893
"297",25,"O",150403.5
"298",26,"O",156097.5
"299",27,"O",161538
"300",5,"P",41028
"301",6,"P",43543.5
"302",7,"P",46215
"303",8,"P",49179
"304",9,"P",52065
"305",10,"P",55458
"306",11,"P",59202
"307",12,"P",63316.5
"308",13,"P",67996.5
"309",14,"P",72813
"310",15,"P",78234
"311",16,"P",83830.5
"312",17,"P",89583
"313",18,"P",95862
"314",19,"P",102394.5
"315",20,"P",109570.5
"316",21,"P",117273
"317",22,"P",125599.5
"318",23,"P",134725.5
"319",24,"P",144436.5
"320",25,"P",155298
"321",26,"P",161167.5
"322",27,"P",166783.5
"323",5,"Q",42354
"324",6,"Q",44967
"325",7,"Q",47716.5
"326",8,"Q",50778
"327",9,"Q",53761.5
"328",10,"Q",57252
"329",11,"Q",61132.5
"330",12,"Q",65383.5
"331",13,"Q",70200
"332",14,"Q",75172.5
"333",15,"Q",80769
"334",16,"Q",86560.5
"335",17,"Q",92488.5
"336",18,"Q",98982
"337",19,"Q",105729
"338",20,"Q",113139
"339",21,"Q",121075.5
"340",22,"Q",129675
"341",23,"Q",139113
"342",24,"Q",149136
"343",25,"Q",160348.5
"344",26,"Q",166413
"345",27,"Q",172204.5
"346",5,"R",43738.5
"347",6,"R",46429.5
"348",7,"R",49276.5
"349",8,"R",52435.5
"350",9,"R",55516.5
"351",10,"R",59104.5
"352",11,"R",63121.5
"353",12,"R",67509
"354",13,"R",72481.5
"355",14,"R",77610
"356",15,"R",83401.5
"357",16,"R",89368.5
"358",17,"R",95491.5
"359",18,"R",102199.5
"360",19,"R",109161
"361",20,"R",116824.5
"362",21,"R",125014.5
"363",22,"R",133887
"364",23,"R",143637
"365",24,"R",153991.5
"366",25,"R",165555
"367",26,"R",171814.5
"368",27,"R",177801
"369",5,"S",45162
"370",6,"S",47931
"371",7,"S",50875.5
"372",8,"S",54132
"373",9,"S",57330
"374",10,"S",61035
"375",11,"S",65169
"376",12,"S",69712.5
"377",13,"S",74841
"378",14,"S",80125.5
"379",15,"S",86112
"380",16,"S",92274
"381",17,"S",98592
"382",18,"S",105514.5
"383",19,"S",112710
"384",20,"S",120627
"385",21,"S",129070.5
"386",22,"S",138235.5
"387",23,"S",148297.5
"388",24,"S",159003
"389",25,"S",170937
"390",26,"S",177391.5
"391",27,"S",183573
"392",5,"T",46624.5
"393",6,"T",49491
"394",7,"T",52533
"395",8,"T",55887
"396",9,"T",59202
"397",10,"T",63024
"398",11,"T",67294.5
"399",12,"T",71974.5
"400",13,"T",77278.5
"401",14,"T",82738.5
"402",15,"T",88920
"403",16,"T",95277
"404",17,"T",101790
"405",18,"T",108946.5
"406",19,"T",116376
"407",20,"T",124546.5
"408",21,"T",133263
"409",22,"T",142720.5
"410",23,"T",153114
"411",24,"T",164170.5
"412",25,"T",176494.5
"413",26,"T",183163.5
"414",27,"T",189540
"415",5,"U",48145.5
"416",6,"U",51090
"417",7,"U",54249
"418",8,"U",57700.5
"419",9,"U",61132.5
"420",10,"U",65071.5
"421",11,"U",69478.5
"422",12,"U",74314.5
"423",13,"U",79794
"424",14,"U",85429.5
"425",15,"U",91806
"426",16,"U",98377.5
"427",17,"U",105105
"428",18,"U",112495.5
"429",19,"U",120159
"430",20,"U",128602.5
"431",21,"U",137592
"432",22,"U",147361.5
"433",23,"U",158086.5
"434",24,"U",169513.5
"435",25,"U",182227.5
"436",26,"U",189111
"437",27,"U",195702
"438",5,"V",49705.5
"439",6,"V",52747.5
"440",7,"V",56004
"441",8,"V",59572.5
"442",9,"V",63121.5
"443",10,"V",67177.5
"444",11,"V",71740.5
"445",12,"V",76732.5
"446",13,"V",82387.5
"447",14,"V",88198.5
