"","Title","mean","min","max","n"
"1","A/B Bosn 34/35",104317.218333333,84360.51,139278.87,12
"2","Able Bodied Seaman, Lituya 39",81187.43,81187.43,81187.43,1
"3","Able Seaman 37/36",92061.7667567568,55454.14,136369.66,37
"4","Absentee & Petition Assistant",67821.03,67821.03,67821.03,1
"5","Absentee & Petition Assistant Supervisor",43463.32,43463.32,43463.32,1
"6","Accountant",80987.3775,18366.79,148466.37,16
"7","Accountant 2",63264.8523076923,3274.28,89065.36,13
"8","Accountant 3",74446.09765625,19164.46,96167.22,64
"9","Accountant 4",89826.0843636364,47106.72,131150.23,55
"10","Accountant 5",111113.269166667,44498.32,153324.02,24
"11","Accounting Clerk",32511.4396875,739.5,67122.23,32
"12","Accounting Tech 2",18983.95,18983.95,18983.95,1
"13","Accounting Technician",43676.12,22407.47,62575.72,3
"14","Accounting Technician (Acpe)",3468.23,3468.23,3468.23,1
"15","Accounting Technician 1",42284.8336363636,2999.7,78219.12,99
"16","Accounting Technician 2",50568.5243181818,946.88,94181,88
"17","Accounting Technician 3",63050.7782474227,34.53,104265.67,97
"18","Accounting Technician 4",96739.05,88983.53,112124.05,3
"19","Adjudications Project Leader",98177.41,98177.41,98177.41,1
"20","Admin Clerk Iii, Elections",54007.0925,32940.17,79646.68,4
"21","Admin Officer, Elections",86892.82,86892.82,86892.82,1
"22","Admin Support Specialist",46226.72,11088.6,70174.51,5
"23","Administrative Assistant",46704.83,18742.05,69978.31,4
"24","Administrative Assistant 1",38914.5284536082,522.68,77564.98,97
"25","Administrative Assistant 2",54405.0660666667,6068.74,124124.35,150
"26","Administrative Assistant 3",60353.7210810811,2048.8,134242.7,74
"27","Administrative Director",90539.05,90539.05,90539.05,1
"28","Administrative Fiscal Officer",135826.15,135826.15,135826.15,1
"29","Administrative Investigator 1 - Dps",88810.815,80453.15,97168.48,2
"30","Administrative Investigator 2 - Dps",104810.3,104810.3,104810.3,1
"31","Administrative Law Judge",153118.78,153118.78,153118.78,1
"32","Administrative Law Judge (Tax Qualified)",135356.86,133137.9,137575.82,2
"33","Administrative Law Judge 1",110944.9375,87267.67,137356.35,4
"34","Administrative Law Judge 2",149049.4,149049.4,149049.4,1
"35","Administrative Manager",93782.03,63031.12,111587.03,3
"36","Administrative Officer",91098.14,64024.9,143604.14,3
"37","Administrative Officer 1",66911.8984946237,2217.75,126760.39,93
"38","Administrative Officer 2",83308.6361111111,14265.44,117274.82,54
"39","Administrative Operations Manager 1",101414.412142857,45920.48,175611.43,28
"40","Administrative Operations Manager 2",117529.304545455,86657.74,146632.86,11
"41","Administrative Specialist",71777.4475,65731.5,78694,4
"42","Adult Probation Officer 1",47522.962631579,3640.56,85668.22,19
"43","Adult Probation Officer 1, Alcohol Safety Action Program",58378.3,58378.3,58378.3,1
"44","Adult Probation Officer 2",70439.3529370629,6721.54,141161.61,143
"45","Adult Probation Officer 2, Alcohol Safety Action Program",64237.3484615385,44423.76,77279,13
"46","Adult Probation Officer 3",94257.0747169811,52204.51,182318.91,53
"47","Adult Probation Officer 4",99444.09125,81988.55,132108.61,8
"48","Adult Probation Officer 5",129753.35,103844.72,187307.73,6
"49","Adult Probation Officer 6",127121.9,125092.28,129151.52,2
"50","Advisory Section Manager",30015.99,30015.99,30015.99,1
"51","Agricultural Inspector",60590.52,60590.52,60590.52,1
"52","Agronomist 1",68883.4433333333,62275.73,73715.33,3
"53","Agronomist 2",80677.765,75183.05,86172.48,2
"54","Agronomist 3",96577.43,96577.43,96577.43,1
"55","Aircraft Maintenance Inspector",58498.0533333333,22886.7,82656.53,3
"56","Aircraft Pilot",143830.755,107286.62,180374.89,2
"57","Aircraft Pilot 1",96706.3061538461,17415.44,159600.38,13
"58","Aircraft Pilot 2",163493.426666667,148956.62,187701.59,3
"59","Airport Leasing Program Manager",106243.64,87049.18,125438.1,2
"60","Airport Leasing Specialist 1",32846.7233333333,8360.08,47342.23,3
"61","Airport Leasing Specialist 2",73112.2416666667,55741.83,111217.19,6
"62","Airport Leasing Specialist 3",64305.343,23865,87132.84,10
"63","Airport Leasing Specialist 4",95389.1625,94265.2,96525.11,4
"64","Airport Manager, Fairbanks (Fia)",146089.41,146089.41,146089.41,1
"65","Airport Operations Officer",89015.9154545455,50757.02,133782.6,11
"66","Airport Operations Specialist",79272.8311111111,44018.48,171821.45,9
"67","Airport Operations Superintendent",120616.42,97483.08,143749.76,2
"68","Airport Police & Fire Officer 1",49030.5616666667,35165,73376.92,6
"69","Airport Police & Fire Officer 2",106541.028461538,72808.43,153968.9,52
"70","Airport Police & Fire Officer 3",155496.424285714,126003.33,198204.98,7
"71","Airport Police & Fire Officer 4",154004.44,121145.77,178897.02,9
"72","Airport Police & Fire Officer 5",135903.78,127359.6,144447.96,2
"73","Airport Police & Fire Officer 6",151077.295,130502.55,171652.04,2
"74","Ak Hidta Director",166029.09,166029.09,166029.09,1
"75","Alaska Conservation Corps",10436.4985714286,2677.5,25007.75,7
"76","Alaska Hidta Program/Operations Manager",47158.85,47158.85,47158.85,1
"77","Alaska International Airport System Planner",78215.46,78215.46,78215.46,1
"78","Alaska Marine Highway System Dispatcher",57813.05,2359.6,92678.94,4
"79","Alaska Military Youth Academy Chief Examiner",66795.89,66795.89,66795.89,1
"80","Alaska Military Youth Academy Coordinator",61308.5425,5268.44,83601.72,8
"81","Alaska Military Youth Academy Instructor",72939.6566666667,55061.62,93065.61,6
"82","Alaska Military Youth Academy Manager",123393.97,123393.97,123393.97,1
"83","Alaska Military Youth Academy Platoon Leader",67795.6366666667,51047.09,92645.65,3
"84","Alaska Military Youth Academy Supervisor 2",83841.97,65134.98,101165.77,3
"85","Alaska Military Youth Academy Team Leader",44787.5592307692,1456.2,84353.8,26
"86","American Sign Language Interpreter",60570.26,60570.26,60570.26,1
"87","Amhs Dispatch Manager",121169.36,121169.36,121169.36,1
"88","Amhs Passenger Services Manager",100663.84,100663.84,100663.84,1
"89","Amhs Safety Management Coordinator",60645.02,60645.02,60645.02,1
"90","Analyst Programmer",81935.4,81935.4,81935.4,1
"91","Analyst Programmer 5",94789.3,94789.3,94789.3,1
"92","Analyst/Programmer 1",22735.7342857143,9368.5,47354.2,7
"93","Analyst/Programmer 2",37423.0577777778,7979.55,61423.46,18
"94","Analyst/Programmer 3",69185.5665714286,53727.23,102410.8,35
"95","Analyst/Programmer 4",88894.9903333333,53509.86,124007.4,60
